Award Name,year_of_award,Name,Movie
Best Director,1928,Frank Borzage,7th Heaven
Best Director,1928,Lewis Milestone,Two Arabian Knights
Best Director,1929,Frank Lloyd,The Divine Lady
Best Director,1930,Lewis Milestone,All Quiet on the Western Front
Best Director,1931,Norman Taurog,Skippy
Best Director,1932,Frank Borzage,Bad Girl
Best Director,1933,Frank Lloyd,Cavalcade
Best Director,1934,Frank Capra,It Happened One Night
Best Director,1935,John Ford,The Informer
Best Director,1936,Frank Capra,Mr. Deeds Goes to Town
Best Director,1937,Leo McCarey,The Awful Truth
Best Director,1938,Frank Capra,You Can't Take It with You
Best Director,1939,Victor Fleming,Gone with the Wind
Best Director,1940,John Ford,The Grapes of Wrath
Best Director,1941,John Ford,How Green Was My Valley
Best Director,1942,William Wyler,Mrs. Miniver
Best Director,1943,Michael Curtiz,Casablanca
Best Director,1944,Leo McCarey,Going My Way
Best Director,1945,Billy Wilder,The Lost Weekend
Best Director,1946,William Wyler,The Best Years of Our Lives
Best Director,1947,Elia Kazan,Gentleman's Agreement
Best Director,1948,John Huston,The Treasure of the Sierra Madre
Best Director,1949,Joseph L. Mankiewicz,A Letter to Three Wives
Best Director,1950,Joseph L. Mankiewicz,All About Eve
Best Director,1951,George Stevens,A Place in the Sun
Best Director,1952,John Ford,The Quiet Man
Best Director,1953,Fred Zinnemann,From Here to Eternity
Best Director,1954,Elia Kazan,On the Waterfront
Best Director,1955,Delbert Mann,Marty
Best Director,1956,George Stevens,Giant
Best Director,1957,David Lean,The Bridge on the River Kwai
Best Director,1958,Vincente Minnelli,Gigi
Best Director,1959,William Wyler,Ben-Hur
Best Director,1960,Billy Wilder,The Apartment
Best Director,1961,Jerome Robbins,West Side Story
Best Director,1961,Robert Wise,West Side Story
Best Director,1962,David Lean,Lawrence of Arabia
Best Director,1963,Tony Richardson,Tom Jones
Best Director,1964,George Cukor,My Fair Lady
Best Director,1965,Robert Wise,The Sound of Music
Best Director,1966,Fred Zinnemann,A Man for All Seasons
Best Director,1967,Mike Nichols,The Graduate
Best Director,1968,Carol Reed,Oliver!
Best Director,1969,John Schlesinger,Midnight Cowboy
Best Director,1970,Franklin J. Schaffner,Patton
Best Director,1971,William Friedkin,The French Connection
Best Director,1972,Bob Fosse,Cabaret
Best Director,1973,George Roy Hill,The Sting
Best Director,1974,Francis Ford Coppola,The Godfather Part II
Best Director,1975,Milos Forman,One Flew over the Cuckoo's Nest
Best Director,1976,John G. Avildsen,Rocky
Best Director,1977,Woody Allen,Annie Hall
Best Director,1978,Michael Cimino,The Deer Hunter
Best Director,1979,Robert Benton,Kramer vs. Kramer
Best Director,1980,Robert Redford,Ordinary People
Best Director,1981,Warren Beatty,Reds
Best Director,1982,Richard Attenborough,Gandhi
Best Director,1983,James L. Brooks,Terms of Endearment
Best Director,1984,Milos Forman,Amadeus
Best Director,1985,Sydney Pollack,Out of Africa
Best Director,1986,Oliver Stone,Platoon
Best Director,1987,Bernardo Bertolucci,The Last Emperor
Best Director,1988,Barry Levinson,Rainman
Best Director,1989,Oliver Stone,Born on the Fourth of July
Best Director,1990,Kevin Costner,Dances with Wolves
Best Director,1991,Jonathan Demme,The Silence of the Lambs
Best Director,1992,Clint Eastwood,Unforgiven
Best Director,1993,Steven Spielberg,Schindler's List
Best Director,1994,Robert Zemeckis,Forrest Gump
Best Director,1995,Mel Gibson,Braveheart
Best Director,1996,Anthony Minghella,The English Patient
Best Director,1997,James Cameron,Titanic
Best Director,1998,Steven Spielberg,Saving Private Ryan
Best Director,1999,Sam Mendes,American Beauty
Best Director,2000,Steven Soderbergh,Traffic
Best Director,2001,Ron Howard,A Beautiful Mind
Best Director,2002,Roman Polanski,The Pianist
Best Director,2003,Peter Jackson,The Lord of the Rings: Return of the King
Best Director,2004,Clint Eastwood,Million Dollar Baby
Best Director,2005,Ang Lee,Brokeback Mountain
Best Director,2006,Martin Scorsese,The Departed
Best Director,2007,Coen Brothers,No Country for Old Men
Best Director,2008,Danny Boyle,Slumdog Millionaire
Best Director,2009,Kathryn Bigelow,The Hurt Locker
Best Director,2010,Tom Hooper,The King's Speech
Best Director,2011,Michel Hazanavicius,The Artist
Best Director,2012,Ang Lee,Life of Pi
Best Director,2013,Alfonsa Cuaron,Gravity
Best Director,2014,Alejandro G. Inarritu,Birdman
Best Director,2015,Alejandro G. Inarritu,The Revenant
Best Director,2016,Damian Chazelle,La La Land
Best Director,2017,Guillermo del Toro,The Shape of Water
