Date,Day,Cases,LogCases
2015-01-04,288,20726,2.30258509299405
2014-12-28,281,20171,2.05952324345081
2014-12-24,277,19810,1.92251114192325
2014-12-21,274,19477,1.80711525454622
2014-12-14,267,18590,1.53758022251511
2014-12-09,262,18150,1.41911356913128
2014-12-07,260,17954,1.36886881611914
2014-11-30,253,17129,1.17119993083105
2014-11-28,251,16869,1.11277939377129
2014-11-23,246,15929,0.913422728497781
2014-11-18,241,15319,0.791950627515449
2014-11-16,239,15113,0.752043824873721
2014-11-11,234,14383,0.614323534274605
2014-11-09,232,14068,0.556393801854141
2014-11-04,227,13200,0.40025145014619
2014-11-02,225,13042,0.372262313004087
2014-10-19,211,9936,-0.170544209061788
2014-10-12,204,8973,-0.343460861991423
2014-09-28,190,7191,-0.684214340509289
2014-09-14,176,5349,-1.0901576294177
2014-08-31,162,3685,-1.55274550859946
2014-08-16,147,2240,-2.12258227441905
2014-08-09,140,1848,-2.33363481872922
2014-07-30,130,1440,-2.60217514980144
2014-07-23,123,1201,-2.7946734002534
2014-07-14,114,982,-3.00597495343365
2014-07-02,102,779,-3.24672073229554
2014-06-17,87,528,-3.64685329422091
2014-05-27,66,309,-4.19229418981372
2014-05-12,51,260,-4.36710821404357
2014-05-01,40,239,-4.45224817920581
2014-04-14,23,194,-4.66282618506123
2014-03-31,9,130,-5.06594870211593
2014-03-22,0,49,-6.04519390250028
